,Symbol,Date,Price
121,108790.KQ,2014-02-28,21923.5294118
122,108790.KQ,2014-03-31,24764.2857143
123,108790.KQ,2014-04-30,23861.3636364
124,108790.KQ,2014-05-31,20457.8947368
125,108790.KQ,2014-06-30,18634.2105263
126,108790.KQ,2014-07-31,20804.3478261
127,108790.KQ,2014-08-31,19627.5
128,108790.KQ,2014-09-30,22642.1052632
129,108790.KQ,2014-10-31,22047.6190476
130,108790.KQ,2014-11-30,23712.5
131,108790.KQ,2014-12-31,22354.7619048
132,108790.KQ,2015-01-31,22673.8095238
133,108790.KQ,2015-02-28,22200.0
134,108790.KQ,2015-03-31,20447.7272727
135,108790.KQ,2015-04-30,21795.4545455
136,108790.KQ,2015-05-31,22038.8888889
137,108790.KQ,2015-06-30,21588.6363636
138,108790.KQ,2015-07-31,23534.7826087
139,108790.KQ,2015-08-31,23447.6190476
140,108790.KQ,2015-09-30,22192.5
141,108790.KQ,2015-10-31,21542.8571429
142,108790.KQ,2015-11-30,23433.3333333
143,108790.KQ,2015-12-31,22645.2380952
144,108790.KQ,2016-01-31,20457.5
145,108790.KQ,2016-02-29,20877.7777778
146,108790.KQ,2016-03-31,20790.9090909
147,108790.KQ,2016-04-30,19732.5
148,108790.KQ,2016-05-31,19495.0
149,108790.KQ,2016-06-30,17352.3809524
150,108790.KQ,2016-07-31,15861.9047619
151,108790.KQ,2016-08-31,14063.6363636
152,108790.KQ,2016-09-30,13650.0
153,108790.KQ,2016-10-31,12737.5
154,108790.KQ,2016-11-30,10972.7272727
155,108790.KQ,2016-12-31,10051.4285714
156,108790.KQ,2017-01-31,9541.5
157,108790.KQ,2017-02-28,9033.0
158,108790.KQ,2017-03-31,8814.09090909
159,108790.KQ,2017-04-30,10825.0
160,108790.KQ,2017-05-31,12202.6315789
161,108790.KQ,2017-06-30,12800.0
162,AABA,2004-01-31,23.77025015
163,AABA,2004-02-29,22.9052630526
164,AABA,2004-03-31,22.2732610435
165,AABA,2004-04-30,26.8738095714
166,AABA,2004-05-31,27.78375
167,AABA,2004-06-30,32.9719050476
168,AABA,2004-07-31,30.344285619
169,AABA,2004-08-31,28.1477272273
170,AABA,2004-09-30,31.9647619048
171,AABA,2004-10-31,35.033333
172,AABA,2004-11-30,37.2252383333
173,AABA,2004-12-31,37.7659092727
174,AABA,2005-01-31,35.75700015
175,AABA,2005-02-28,33.7342106316
176,AABA,2005-03-31,32.071364
177,AABA,2005-04-30,34.4119047143
178,AABA,2005-05-31,35.6000001905
179,AABA,2005-06-30,36.7304547727
180,AABA,2005-07-31,34.9194999
181,AABA,2005-08-31,33.8965216957
182,AABA,2005-09-30,33.1209520476
183,AABA,2005-10-31,34.5914284762
184,AABA,2005-11-30,39.644286381
185,AABA,2005-12-31,40.6166668571
186,AABA,2006-01-31,38.11299995
187,AABA,2006-02-28,32.9757894211
188,AABA,2006-03-31,31.2186957391
189,AABA,2006-04-30,32.2831574211
190,AABA,2006-05-31,31.5172726818
191,AABA,2006-06-30,30.9818185455
192,AABA,2006-07-31,29.89050015
193,AABA,2006-08-31,28.132173913
194,AABA,2006-09-30,27.2565001
195,AABA,2006-10-31,24.5377272727
196,AABA,2006-11-30,27.032381
197,AABA,2006-12-31,26.28400005
198,AABA,2007-01-31,28.04700025
199,AABA,2007-02-28,30.4510524211
200,AABA,2007-03-31,30.6127272273
201,AABA,2007-04-30,29.97549985
202,AABA,2007-05-31,29.1259089545
203,AABA,2007-06-30,27.5985710952
204,AABA,2007-07-31,25.8600003333
205,AABA,2007-08-31,23.2708696957
206,AABA,2007-09-30,24.9310524737
207,AABA,2007-10-31,29.074348087
208,AABA,2007-11-30,26.9857141905
209,AABA,2007-12-31,24.43499975
210,AABA,2008-01-31,21.9238097143
211,AABA,2008-02-29,28.88950005
212,AABA,2008-03-31,28.06950005
213,AABA,2008-04-30,27.9145454545
214,AABA,2008-05-31,26.8314283333
215,AABA,2008-06-30,23.8857145238
216,AABA,2008-07-31,21.7572728182
217,AABA,2008-08-31,19.7333335238
218,AABA,2008-09-30,18.6290475238
219,AABA,2008-10-31,13.2526086522
220,AABA,2008-11-30,11.2494736842
221,AABA,2008-12-31,12.2977272727
222,AABA,2009-01-31,12.0485
223,AABA,2009-02-28,12.7115789474
224,AABA,2009-03-31,13.2495454545
225,AABA,2009-04-30,13.8304761905
226,AABA,2009-05-31,14.95
227,AABA,2009-06-30,15.9572727727
228,AABA,2009-07-31,15.7631819091
229,AABA,2009-08-31,14.750952381
230,AABA,2009-09-30,16.1509522857
231,AABA,2009-10-31,16.9431816818
232,AABA,2009-11-30,15.7105
233,AABA,2009-12-31,15.9163635455
234,AABA,2010-01-31,16.4552633158
235,AABA,2010-02-28,15.2689473684
236,AABA,2010-03-31,16.3039132609
237,AABA,2010-04-30,17.4733330952
238,AABA,2010-05-31,15.93549995
239,AABA,2010-06-30,15.0304545455
240,AABA,2010-07-31,14.4747619048
241,AABA,2010-08-31,13.7963636364
242,AABA,2010-09-30,13.9404761905
243,AABA,2010-10-31,15.4447618095
244,AABA,2010-11-30,16.4195237619
245,AABA,2010-12-31,16.5859091364
246,AABA,2011-01-31,16.42199995
247,AABA,2011-02-28,16.8300001053
248,AABA,2011-03-31,16.6608696087
249,AABA,2011-04-30,16.8795004
250,AABA,2011-05-31,16.9852378095
251,AABA,2011-06-30,15.1781818182
252,AABA,2011-07-31,14.505
253,AABA,2011-08-31,12.8869565217
